"Student","Degree Level","Global Document Name","Record ID","Created On","Updated On","Required","Note","Applicable Countries","Document Type","Description","Student Documents & Status"
"","Foundation","H.S.C / UG Diploma Passing Certificate","69bcbc3404fb9cc1245430cb","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Certificate proving you have passed 12th grade",""
"","Foundation","H.S.C / UG Diploma Marksheet/s","69bcbc3404fb9cc1245430d0","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Official marksheet of your 12th (higher secondary) exams",""
"","Foundation","S.S.C Passing Certificate","69bcbc3404fb9cc1245430d5","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Certificate proving you have passed 10th grade",""
"","Foundation","S.S.C Marksheet","69bcbc3404fb9cc1245430da","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Official marksheet of your 10th (secondary school) exams",""
"","Foundation","English Proficiency Test","69bcbc3404fb9cc1245430df","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Language Proficiency","Valid English language test result (IELTS, TOEFL, PTE, etc.)",""
"","Foundation","APS Certificate","69bcbc3404fb9cc1245430e4","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","India, China, Vietnam, Mongolia","Academic Recognition","APS verification certificate required for certain countries (e.g. Germany)",""
"","Foundation","Curriculum Vitae (CV)","69bcbc3404fb9cc1245430e9","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Professional","Your latest CV with education, work experience, and skills",""
"","Foundation","A Valid Passport Copy","69bcbc3404fb9cc1245430ee","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Identity","A valid passport showing your personal details and photo page",""
"","MBA","Work Experience Certificate","69bcbc3404fb9cc1245430f3","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Professional","Letter from employer confirming your work experience",""
"","MBA","Bachelor’s Degree / Advanced Diploma Transcript","69bcbc3404fb9cc1245430f8","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Official academic record issued by your institution (sealed or stamped)",""
"","MBA","Bachelor’s Degree / Advanced Diploma Certificate","69bcbc3404fb9cc1245430fd","03/19/2026 8:17pm","03/19/2026 8:17pm","Yes","","All","Academic","Official certificate confirming your bachelor’s degree completion",""
