Number,Document Name,Document Code,Document Type,Degree Levels,Record ID,Created On,Updated On,Applicable Level,Applicable Countries,Description,Is Active,Expiry Applicable?,Student,Document Requirement,Student Documents & Status
1,A Valid Passport Copy,PASSPORT,Identity,"Bachelor,Foundation,Master,MBA",69baa627ff7989b082c723c3,03/18/2026 6:48 PM,03/23/2026 8:51 PM,"Foundation, Bachelor, Master, MBA",All,A valid passport showing your personal details and photo page,Yes,Yes,,,
2,Curriculum Vitae (CV),CV,Professional,"Bachelor,Foundation,Master,MBA",69baa627ff7989b082c723c6,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA",All,"Your latest CV with education, work experience, and skills",Yes,No,,,
3,English Proficiency Test,LANGUAGE_SCORE,Language Proficiency,"Bachelor,Foundation,Master,MBA",69baa628ff7989b082c723ed,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA",All,"Valid English language test result (IELTS, TOEFL, PTE, etc.)",Yes,Yes,,,
4,S.S.C Marksheet,SSC_MARKSHEET,Academic,"Bachelor,Foundation,Master,MBA",69baa627ff7989b082c723c9,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA",All,Official marksheet of your 10th (secondary school) exams,Yes,No,,,
5,S.S.C Passing Certificate,SSC_CERTIFICATE,Academic,"Bachelor,Foundation,Master,MBA",69baa627ff7989b082c723cc,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA",All,Certificate proving you have passed 10th grade,Yes,No,,,
6,H.S.C / UG Diploma Marksheet/s,HSC_UGD_MARKSHEET,Academic,"Bachelor,Foundation,Master,MBA",69baa627ff7989b082c723cf,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA",All,Official marksheet of your 12th (higher secondary) exams,Yes,No,,,
7,H.S.C / UG Diploma Passing Certificate,HSC_UGD_CERTIFICATE,Academic,"Bachelor,Foundation,Master,MBA",69baa627ff7989b082c723d2,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA",All,Certificate proving you have passed 12th grade,Yes,No,,,
8,Bachelor / Advanced Diploma All Semester Marksheets,BD_AD_MARKSHEET,Academic,"Master,MBA",69baa627ff7989b082c723db,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"MBA, Master",All,All semester/year marksheets of your bachelor’s degree,Yes,No,,,
9,Bachelor’s Degree / Advanced Diploma Certificate,BD_AD_DEGREE,Academic,"Master,MBA",69baa627ff7989b082c723de,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Master, MBA",All,Official certificate confirming your bachelor’s degree completion,Yes,No,,,
10,Bachelor’s Degree / Advanced Diploma Transcript,BD_AD_TRANSCRIPT,Academic,"Master,MBA",69baa627ff7989b082c723e1,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Master, MBA",All,Official academic record issued by your institution (sealed or stamped),Yes,No,,,
11,APS Certificate,APS,Academic Recognition,"Bachelor,Foundation,Master,MBA",69baa628ff7989b082c723f6,03/18/2026 6:48 PM,03/23/2026 8:50 PM,"Foundation, Bachelor, Master, MBA","India, China, Vietnam, Mongolia",APS verification certificate required for certain countries (e.g. Germany),Yes,No,,,
12,Work Experience Certificate,WORK_EXP_LETTER,Professional,MBA,69baa628ff7989b082c723f0,03/18/2026 6:48 PM,03/23/2026 8:50 PM,MBA,All,Letter from employer confirming your work experience,Yes,No,,,
